country,time,pspp,bond_yields_10yr,yield_spreads,lt_govt_debt_sec_issued,st_govt_debt_sec_issued,hicp,ciss_country,industrial_output,M2,vix,debt_to_gdp,primary_deficit,real_gdp,ECB_10yr_benchmark,ecb_yield_spreads
Austria,2019-11,649,-0.09,26,241068,1885,1.20,0.0634,110.70,6.100,13.780,71.300,1.547,98832.9,0.3016,-39.16
Austria,2019-12,702,-0.04,26,240598,1615,1.80,0.0480,112.80,5.700,18.840,71.300,1.547,98832.9,0.3662,-40.62
Austria,2020-01,762,-0.09,22,242216,2415,2.20,0.0411,117.60,5.500,40.110,70.600,1.987,103582.7,0.3162,-40.62
Austria,2020-02,589,-0.26,21,245768,596,2.20,0.0426,113.50,5.800,53.540,70.600,1.987,103582.7,0.1333,-39.33
Austria,2020-03,1023,-0.09,45,248046,5206,1.60,0.1234,104.60,7.300,34.150,70.600,1.987,103582.7,0.3682,-45.82
Austria,2020-04,1286,0.05,50,257809,2071,1.50,0.1141,86.30,8.200,27.510,73.100,1.891,95127.2,0.5538,-50.38
Austria,2020-05,1421,-0.10,42,260211,4369,0.60,0.0709,94.10,9.300,30.430,73.100,1.891,95127.2,0.4784,-57.84
Austria,2020-06,944,-0.13,30,263374,7914,1.10,0.0751,100.90,9.200,24.460,73.100,1.891,95127.2,0.3505,-48.05
Austria,2020-07,-675,-0.25,27,252414,7512,1.80,0.0320,107.00,10.100,26.410,81.900,-1.361,88533.8,0.2207,-47.07
Austria,2020-08,379,-0.28,24,253764,4816,1.40,0.0345,108.60,9.400,26.370,81.900,-1.361,88533.8,0.1605,-44.05
Austria,2020-09,777,-0.32,20,254995,4893,1.20,0.0304,110.90,10.300,38.020,81.900,-1.361,88533.8,0.123,-44.30
Austria,2020-10,643,-0.40,21,257648,9432,1.10,0.0300,113.00,10.600,20.570,78.300,-3.298,96845.2,0.0005,-40.05
Austria,2020-11,854,-0.41,20,259227,7775,1.10,0.0347,111.80,10.700,22.750,78.300,-3.298,96845.2,-0.0553,-35.47
Austria,2020-12,583,-0.42,20,256824.431,8626.2,1.00,0.0589,112.80,11.700,33.090,78.300,-3.298,96845.2,-0.0915,-32.85
Austria,2021-01,614,-0.40,18,259378.9,10562.2,1.10,0.0404,113.70,12.300,27.950,82.900,-6.645,100536.3,-0.0636,-33.64
Austria,2021-02,583,-0.20,25,262877.15,8946.806,1.40,0.0422,113.50,12.100,19.400,82.900,-6.645,100536.3,0.0643,-26.43
Austria,2021-03,628,-0.09,27,266547.942,14351.606,2.00,0.0677,116.70,10.100,18.610,82.900,-6.645,100536.3,0.1479,-23.79
Austria,2021-04,669,-0.04,29,275802.265,11587.25,1.90,0.0804,116.80,9.200,16.760,86.600,-9.785,92140.6,0.2051,-24.51
Austria,2021-05,514,0.08,30,278940.376,12347.1,3.00,0.0472,116.30,8.200,15.830,86.600,-9.785,92140.6,0.377,-29.70
Austria,2021-06,655,0.02,31,281091.076,10827.1,2.80,0.0535,116.00,8.100,18.240,86.600,-9.785,92140.6,0.3039,-28.39
Austria,2021-07,632,-0.13,32,283343.778,9187.1,2.80,0.0356,118.60,7.800,16.480,85.700,-8.385,101311.9,0.164,-29.40
Austria,2021-08,345,-0.23,31,285145.201,9220.79,3.20,0.0385,119.90,7.800,23.140,85.700,-8.385,101311.9,0.0598,-28.98
Austria,2021-09,-2012,-0.08,28,276810.22,16041.58,3.30,0.0382,118.60,7.600,16.260,85.700,-8.385,101311.9,0.1967,-27.67
Austria,2021-10,628,0.08,29,278361.437,15265.38,3.80,0.0560,121.70,7.500,27.190,83.700,-7.066,104260.2,0.3523,-27.23
Austria,2021-11,558,-0.01,30,278076.556,11717.463,4.10,0.0991,124.10,7.200,17.220,83.700,-7.066,104260.2,0.3123,-32.23
Austria,2021-12,435,-0.05,33,279379.513,12212.463,3.80,0.1412,127.10,7.000,24.830,83.700,-7.066,104260.2,0.2791,-32.91
Austria,2022-01,1124,0.18,30,287037.853,14495.291,4.50,0.1581,130.80,6.600,30.150,82.300,-4.672,108436,0.534,-35.40
Austria,2022-02,407,0.54,39,288035.26,16917.831,5.50,0.2778,126.00,6.600,20.560,82.300,-4.672,108436,0.9442,-40.42
